id;numero_ot;codigo_actividad;Prioridad;frecuencia_new;dia_semana;semana_mes;mes;dia_mes;actividad;duracion;observaciones;fecha_creacion;;;
48;42;AS48;Alta;Anual;4;1;10;0;Limpieza de mandos electrónicos ;60;Electricista;2026-01-13 12:11:23;;;
49;42;AS49;Alta;Anual;1;2;7;0;Limpieza general de paneles eléctricos ;60;Electricista;2026-01-13 12:11:23;;;
50;42;AS50;Alta;Anual;5;3;6;0;Revisión de motores ;60;Electricista;2026-01-13 12:11:23;;;
51;117;AS51;Alta;Diaria;0;0;0;0;Limpieza de de apilador ;2;Operador;2026-01-13 12:11:23;;;
52;117;AS52;Alta;Diaria;0;0;0;0;Limpieza de filos ;2;Operador;2026-01-13 12:11:23;;;
53;117;AS53;Alta;Diaria;0;0;0;0;Limpieza de guias ;2;Operador;2026-01-13 12:11:23;;;
54;218;AS54;Alta;Semanal;4;0;0;0;Comprobación de fugas en el sistema neumático ;5;Mecánico;2026-01-13 12:11:23;;;
55;218;AS55;Alta;Mensual;6;4;0;0;Comprobación de las uniones roscadas ;30;Mecánico;2026-01-13 12:11:23;;;
56;218;AS56;Alta;Semestral;2;3;2;0;Comprobación de sistemas de lubricación ;60;Mecánico;2026-01-13 12:11:23;;;
57;218;AS57;Alta;Mensual;6;3;0;0;Comprobación del nivel de aceite de lubricador ;30;Mecánico;2026-01-13 12:11:23;;;
58;218;AS58;Alta;Mensual;2;4;0;0;Verificación de fajas ;10;Mecánico;2026-01-13 12:11:23;;;
59;43;AS59;Alta;Anual;1;3;10;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
60;43;AS60;Alta;Anual;3;3;6;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
61;43;AS61;Alta;Anual;6;1;4;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
62;43;AS62;Alta;Anual;6;3;5;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
63;118;AS63;Alta;Semanal;2;0;0;0;Comprobación de las uniones roscadas de las piezas de cambio ;20;Operador;2026-01-13 12:11:23;;;
64;118;AS64;Alta;Diaria;0;0;0;0;Limpieza de los carriles de guía ;2;Operador;2026-01-13 12:11:23;;;
65;118;AS65;Alta;Diaria;0;0;0;0;Limpieza de residuos en toda la maquina ;2;Operador;2026-01-13 12:11:23;;;
66;118;AS66;Alta;Diaria;0;0;0;0;Limpieza del sistema de rizado ;2;Operador;2026-01-13 12:11:23;;;
67;219;AS67;Alta;Mensual;6;3;0;0;Comprobación y verificación de fajas ;20;Mecánico;2026-01-13 12:11:23;;;
68;219;AS68;Alta;Mensual;3;1;0;0;Engrase del rodamiento del disco de rizado ;20;Mecánico;2026-01-13 12:11:23;;;
69;219;AS69;Alta;Semanal;3;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;20;Mecánico;2026-01-13 12:11:23;;;
70;57;AS70;Alta;Anual;3;4;8;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
71;57;AS71;Alta;Anual;4;1;11;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
72;57;AS72;Alta;Anual;2;4;8;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
73;57;AS73;Alta;Anual;3;4;1;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
74;119;AS74;Alta;Diaria;0;0;0;0;Limpieza de residuos ;5;Operador;2026-01-13 12:11:23;;;
75;220;AS75;Alta;Mensual;6;4;0;0;Comprobación y verificación de fajas ;10;Mecánico;2026-01-13 12:11:23;;;
76;220;AS76;Alta;Mensual;5;2;0;0;Comprobación y verificación de fajas de transmisión ;10;Mecánico;2026-01-13 12:11:23;;;
77;220;AS77;Alta;Mensual;4;4;0;0;Comprobar la tensión de la cinta transportadora ;10;Mecánico;2026-01-13 12:11:23;;;
78;220;AS78;Alta;Semanal;4;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;5;Mecánico;2026-01-13 12:11:23;;;
79;60;AS79;Alta;Anual;5;1;5;0;Apretar zonas de transición de corriente atornilladas ;30;Electricista;2026-01-13 12:11:23;;;
80;60;AS80;Alta;Anual;1;4;6;0;Limpieza general de paneles eléctricos ;30;Electricista;2026-01-13 12:11:23;;;
81;60;AS81;Alta;Anual;1;3;2;0;Limpieza los mandos electrónicos ;30;Electricista;2026-01-13 12:11:23;;;
82;60;AS82;Alta;Anual;6;4;2;0;Revisión de motor ;30;Electricista;2026-01-13 12:11:23;;;
83;120;AS83;Alta;Diaria;0;0;0;0;Limpieza de residuos ;5;Operador;2026-01-13 12:11:23;;;
84;221;AS84;Alta;Mensual;6;1;0;0;Comprobación y verificación de fajas ;10;Mecánico;2026-01-13 12:11:23;;;
85;221;AS85;Alta;Semanal;3;0;0;0;Verificación de cojines, rodillos, tensores y sprocket ;5;Mecánico;2026-01-13 12:11:23;;;
86;99;AS86;Alta;Diaria;0;0;0;0;Limpieza de apilador de laminas ;2;Operador;2026-01-13 12:11:23;;;
87;99;AS87;Alta;Diaria;0;0;0;0;Limpieza de brazos de sujeción de láminas ;2;Operador;2026-01-13 12:11:23;;;
88;99;AS88;Alta;Diaria;0;0;0;0;Limpieza de apilador de laminas ;2;Operador;2026-01-13 12:11:23;;;
89;99;AS89;Alta;Diaria;0;0;0;0;Limpieza de brazos de sujeción de láminas ;2;Operador;2026-01-13 12:11:23;;;
90;99;AS90;Alta;Diaria;0;0;0;0;Limpieza de filos ;2;Operador;2026-01-13 12:11:23;;;
91;107;AS91;Alta;Semanal;2;0;0;0;Comprobación de fugas en el sistema neumático e hidráulico ;30;Mecánico;2026-01-13 12:11:23;;;
92;107;AS92;Alta;Quincenal;1;1;0;0;Engrasado de guía circular de la mesa de alineación ;20;Mecánico;2026-01-13 12:11:23;;;
